"SECURITIES","ERROR CODE","NUM FLDS","OPT_EXPIRE_DT","OPT_STRIKE_PX","PX_BID","PX_MID","PX_ASK","OPT_PUT_CALL","DAYS_TO_MTY","TODAY_DT","OPT_DAYS_EXPIRE"
"SPX US 01/15/16 C1260 Index",0,9,"01/15/2016",1260.000000  ,781.600000  ,781.850000  ,782.100000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1270 Index",0,9,"01/15/2016",1270.000000  ,771.600000  ,771.850000  ,772.100000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1275 Index",0,9,"01/15/2016",1275.000000  ,766.600000  ,766.850000  ,767.100000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1280 Index",0,9,"01/15/2016",1280.000000  ,761.600000  ,761.850000  ,762.100000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1290 Index",0,9,"01/15/2016",1290.000000  ,751.600000  ,751.850000  ,752.100000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1300 Index",0,9,"01/15/2016",1300.000000  ,741.600000  ,741.850000  ,742.100000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1310 Index",0,9,"01/15/2016",1310.000000  ,731.600000  ,731.850000  ,732.100000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1320 Index",0,9,"01/15/2016",1320.000000  ,721.600000  ,721.850000  ,722.100000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1325 Index",0,9,"01/15/2016",1325.000000  ,716.600000  ,716.850000  ,717.100000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1330 Index",0,9,"01/15/2016",1330.000000  ,711.600000  ,711.850000  ,712.100000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1340 Index",0,9,"01/15/2016",1340.000000  ,701.600000  ,701.850000  ,702.100000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1350 Index",0,9,"01/15/2016",1350.000000  ,691.600000  ,691.850000  ,692.100000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1360 Index",0,9,"01/15/2016",1360.000000  ,681.600000  ,681.850000  ,682.100000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1365 Index",0,9,"01/15/2016",1365.000000  ,676.600000  ,676.850000  ,677.100000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1370 Index",0,9,"01/15/2016",1370.000000  ,671.600000  ,671.850000  ,672.100000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1375 Index",0,9,"01/15/2016",1375.000000  ,666.600000  ,666.850000  ,667.100000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1380 Index",0,9,"01/15/2016",1380.000000  ,661.600000  ,661.850000  ,662.100000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1385 Index",0,9,"01/15/2016",1385.000000  ,656.600000  ,656.850000  ,657.100000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1390 Index",0,9,"01/15/2016",1390.000000  ,651.600000  ,651.850000  ,652.100000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1395 Index",0,9,"01/15/2016",1395.000000  ,646.600000  ,646.850000  ,647.100000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1400 Index",0,9,"01/15/2016",1400.000000  ,641.600000  ,641.850000  ,642.100000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1405 Index",0,9,"01/15/2016",1405.000000  ,636.600000  ,636.850000  ,637.100000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1410 Index",0,9,"01/15/2016",1410.000000  ,631.600000  ,631.850000  ,632.100000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1415 Index",0,9,"01/15/2016",1415.000000  ,626.600000  ,626.850000  ,627.100000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1420 Index",0,9,"01/15/2016",1420.000000  ,621.600000  ,621.850000  ,622.100000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1425 Index",0,9,"01/15/2016",1425.000000  ,616.600000  ,616.850000  ,617.100000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1430 Index",0,9,"01/15/2016",1430.000000  ,611.600000  ,611.850000  ,612.100000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1435 Index",0,9,"01/15/2016",1435.000000  ,606.600000  ,606.850000  ,607.100000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1440 Index",0,9,"01/15/2016",1440.000000  ,601.700000  ,601.950000  ,602.200000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1445 Index",0,9,"01/15/2016",1445.000000  ,596.700000  ,596.950000  ,597.200000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1450 Index",0,9,"01/15/2016",1450.000000  ,591.700000  ,591.950000  ,592.200000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1455 Index",0,9,"01/15/2016",1455.000000  ,586.700000  ,586.950000  ,587.200000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1460 Index",0,9,"01/15/2016",1460.000000  ,581.700000  ,581.950000  ,582.200000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1465 Index",0,9,"01/15/2016",1465.000000  ,576.700000  ,576.950000  ,577.200000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1470 Index",0,9,"01/15/2016",1470.000000  ,571.700000  ,571.950000  ,572.200000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1475 Index",0,9,"01/15/2016",1475.000000  ,566.700000  ,566.950000  ,567.200000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1480 Index",0,9,"01/15/2016",1480.000000  ,561.700000  ,561.950000  ,562.200000  ,"Call",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 C1485 Index",0,9,"01/15/2016",1485.000000  ,556.700000  ,556.950000  ,557.200000  ,"Call",14  ,"12/31/2015",15  ,
